time,cumDistance,velocity,soc
14-10-2023 08:00:00,0,65,1
14-10-2023 08:07:27,10000,83.2404966795056,0.991872355766987
14-10-2023 08:14:24,20000,86.5406902341711,0.976409810907834
14-10-2023 08:21:15,30000,87.7397033425192,0.962848043507534
14-10-2023 08:27:58,40000,89.7193983857701,0.952321924484901
14-10-2023 08:34:54,50000,86.1603592178882,0.93988463363389
14-10-2023 08:41:30,60000,91.5339609282709,0.932075413271641
14-10-2023 08:48:08,70000,90.1752527705648,0.923240272054736
14-10-2023 08:55:14,80000,84.0133198396384,0.910659352481072
14-10-2023 09:01:45,90000,93.3980156549639,0.905695517829545
14-10-2023 09:08:28,100000,88.7618953393396,0.89505341480238
14-10-2023 09:15:17,110000,87.9831087655174,0.886937955859602
14-10-2023 09:21:58,120000,89.8940539659109,0.882236025700883
14-10-2023 09:28:45,130000,88.4102513936418,0.876088833485035
14-10-2023 09:35:27,140000,89.8029701436923,0.870719509604607
14-10-2023 09:41:54,150000,93.6019871460132,0.865433456444863
14-10-2023 09:48:28,160000,91.1068478273348,0.854254324765503
14-10-2023 09:55:04,170000,91.0123293161915,0.847937423665818
14-10-2023 10:01:54,180000,87.2903157707621,0.843782861879175
14-10-2023 10:08:26,190000,92.7869723430897,0.842036310688865
14-10-2023 10:14:46,200000,95.0360094629825,0.840393224369071
14-10-2023 10:21:20,210000,90.811709822519,0.839165590570593
14-10-2023 10:27:49,220000,92.7823430430902,0.840379597697764
14-10-2023 10:34:24,230000,90.9374053806465,0.84190969292467
14-10-2023 10:40:51,240000,93.5278651973579,0.843836365739712
14-10-2023 10:47:20,250000,92.3457455720355,0.841597367155106
14-10-2023 10:53:48,260000,92.7402100264765,0.837608090141518
14-10-2023 11:00:08,270000,95.0270446102185,0.833119200600738
14-10-2023 11:06:35,280000,92.786857321897,0.826578832104961
14-10-2023 11:13:30,290000,85.7928292981833,0.824025706468016
14-10-2023 11:20:04,300000,92.4597169163934,0.823350614805777
14-10-2023 11:26:47,310000,88.6292605363291,0.825062889741953
14-10-2023 11:34:52,320000,71.4651707357437,0.834716153759694
14-10-2023 12:11:53,330000,87.6499810768149,0.920918904113634
14-10-2023 12:18:49,340000,86.225540545177,0.9181767495664
14-10-2023 12:25:44,350000,86.7772646438224,0.91759480331761
14-10-2023 12:32:21,360000,91.3330667585373,0.919210967881645
14-10-2023 12:38:51,370000,92.4974497781778,0.920724046204632
14-10-2023 12:45:17,380000,93.6151241708355,0.924297136885344
14-10-2023 12:51:50,390000,91.2667761705284,0.923670006605386
14-10-2023 12:58:17,400000,93.2468290587565,0.924510549401862
14-10-2023 13:04:53,410000,90.5021830288029,0.925825923205214
14-10-2023 13:11:35,420000,89.2580031792881,0.929140916894604
14-10-2023 13:19:07,430000,78.1636214840572,0.934656633585412
14-10-2023 13:26:11,440000,85.947359918964,0.938645060616571
14-10-2023 13:33:04,450000,87.204526106829,0.936161748095812
14-10-2023 13:40:08,460000,84.5620794563846,0.934240615311494
14-10-2023 13:47:00,470000,87.9597438345711,0.934900842516801
14-10-2023 13:53:45,480000,89.0310013451923,0.933634936544679
14-10-2023 14:00:45,490000,85.2331229915535,0.932384262472232
14-10-2023 14:07:43,500000,86.1769346594008,0.932904607541716
14-10-2023 14:14:34,510000,87.9584265554869,0.930682207493993
14-10-2023 14:21:30,520000,86.373634437501,0.922459726335179
14-10-2023 14:28:28,530000,86.1007976492283,0.910322033911322
14-10-2023 14:35:25,540000,86.3032969369978,0.899231802383805
14-10-2023 14:42:43,550000,81.65067356753,0.890395870091637
14-10-2023 14:49:55,560000,83.4844267869414,0.876455821676202
14-10-2023 14:57:08,570000,82.9859956002277,0.860932849962031
14-10-2023 15:04:11,580000,85.4442967962141,0.843019382860735
14-10-2023 15:11:08,590000,86.6861549480183,0.826691395269806
14-10-2023 15:48:04,600000,86.5111910531477,0.85715807802884
14-10-2023 15:55:08,610000,84.6613720894846,0.84069727343945
14-10-2023 16:02:02,620000,87.2119055682859,0.823169469654094
14-10-2023 16:08:56,630000,87.0791455540743,0.806666566274136
14-10-2023 16:15:56,640000,85.3981097844482,0.78804832698431
14-10-2023 16:22:55,650000,85.9549422253521,0.766811696970312
14-10-2023 16:29:52,660000,86.5378159876977,0.748236719888293
14-10-2023 16:36:40,670000,88.3217534576567,0.729570205493919
14-10-2023 16:43:44,680000,84.5026753446156,0.710031581516087
14-10-2023 16:50:41,690000,86.5085335529524,0.689303463360774
14-10-2023 16:57:18,700000,91.2224037826104,0.668895534551022
15-10-2023 08:02:31,710000,118.147566198002,0.715357835368013
15-10-2023 08:07:35,720000,118.357567980484,0.685632183257196
15-10-2023 08:13:53,730000,91.4696541806523,0.674865894862581
15-10-2023 08:21:29,740000,77.1525879949636,0.667242069891485
15-10-2023 08:28:52,750000,81.8645234349679,0.651564897578942
15-10-2023 08:36:08,760000,82.5693133579534,0.639904481521796
15-10-2023 08:42:59,770000,88.1185398921856,0.631236743085117
15-10-2023 08:50:16,780000,81.7111903846223,0.617125305426929
15-10-2023 08:57:22,790000,84.7103801749354,0.607424598443163
15-10-2023 09:04:29,800000,84.3143410354885,0.596299776313379
15-10-2023 09:11:50,810000,81.2247356882929,0.588150993108461
15-10-2023 09:18:53,820000,85.6439764267748,0.582059848709363
15-10-2023 09:25:55,830000,85.3572438564208,0.572364261894118
15-10-2023 09:33:15,840000,81.2498741134793,0.558654234481185
15-10-2023 09:40:35,850000,81.9033707880341,0.551894385590452
15-10-2023 09:47:41,860000,84.9255517005241,0.548208419946191
