,cumDistance,maxSpeed,inclinationSmoothed
0,0.0,50,-0.0027952992156428
1,20341.13298162859,80,-0.017245195643886546
2,40682.26596325718,100,0.00492717742803957
3,61023.398944885776,130,-0.0024929082509672473
4,81364.53192651436,130,-0.018548137571443316
5,101705.66490814295,130,-0.0013788657760852988
6,122046.79788977155,60,-0.0008035368714321392
7,142387.93087140014,60,0.003660028994619988
8,162729.06385302873,60,0.00042316831616536106
9,183070.1968346573,60,-0.00145539923200092
10,203411.3298162859,80,0.007289310077345347
11,223752.4627979145,130,-0.010275432691480199
12,244093.5957795431,100,-0.0024830484429139484
13,264434.7287611717,130,-0.006561556615708905
14,284775.8617428003,130,0.021852132844361764
15,305116.99472442886,130,0.0006778883325499474
16,325458.12770605745,80,0.007841557308566364
17,345799.26068768604,110,0.004552774115557404
18,366140.3936693146,110,0.003289489995515124
19,386481.5266509432,130,0.005477677322110366
20,406822.6596325718,130,-0.001116674557458095
21,427163.7926142004,100,-0.002841274638696497
22,447504.925595829,130,-0.00030189992255462775
23,467846.05857745756,130,0.00010488010821154824
24,488187.1915590862,130,-0.00018724820134698303
25,508528.3245407148,80,-0.0006023102301526617
26,528869.4575223434,80,-0.0024050420508059866
27,549210.5905039719,100,0.00019458031128201486
28,569551.7234856006,100,0.0007028791981793299
29,589892.8564672291,100,0.0025682701317999656
30,610233.9894488577,100,0.0003487585292266474
31,630575.1224304863,100,-0.0045053702894303485
32,650916.2554121149,80,0.00230135986780495
33,671257.3883937435,100,0.001206455876334975
34,691598.5213753721,130,3.907002753632e-05
35,711939.6543570007,130,-0.016058791235746786
36,732280.7873386292,130,-0.0035848125101276885
37,752621.9203202579,100,-0.0015209551031228814
38,772963.0533018864,100,0.0034027527897384858
39,793304.1862835151,130,0.0012845323339318873
40,813645.3192651436,130,0.0037426699614014013
41,833986.4522467722,80,0.01766490361225139
42,854327.5852284008,130,-0.003009596199977301
43,874668.7182100294,130,0.0027626550468613756
44,895009.851191658,130,-0.0032222881631009735
45,915350.9841732866,130,0.002103503459054182
46,935692.1171549151,130,-0.004277852827548578
47,956033.2501365438,130,0.0028286768666804588
48,976374.3831181724,130,-0.005365869386085338
49,996715.5160998009,130,-0.0013559680732458852
50,1017056.6490814296,130,0.001014451917403692
51,1037397.7820630581,130,0.0026924003771711218
52,1057738.9150446868,130,-0.0014008040317941288
53,1078080.0480263154,130,0.004236302572134277
54,1098421.1810079438,130,-0.005502873985599533
55,1118762.3139895725,130,-0.0003077112227193637
56,1139103.446971201,100,0.00023607066116004014
57,1159444.5799528298,130,0.0016776170029503107
58,1179785.7129344582,130,-0.0015704164029042783
59,1200126.8459160868,130,-0.000878862354921699
60,1220467.9788977155,100,-0.0013122505630737877
61,1240809.111879344,130,0.0029178120979935353
62,1261150.2448609725,130,0.0012799694212452162
63,1281491.3778426012,130,0.0010941493803914648
64,1301832.5108242298,80,-0.0007424171472088011
65,1322173.6438058584,130,0.0014369593153057934
66,1342514.776787487,130,0.000846956515410035
67,1362855.9097691155,130,0.003385821239266325
68,1383197.0427507441,130,0.005925451864248631
69,1403538.1757323728,130,0.003089342729535112
70,1423879.3087140014,130,0.0034351306479631686
71,1444220.4416956299,130,0.0028730664247311097
72,1464561.5746772585,130,0.0008626813650793803
73,1484902.7076588871,110,-0.016581527105832806
74,1505243.8406405158,80,-0.0017436236289627802
75,1525584.9736221442,110,0.004832716976108155
76,1545926.1066037728,110,0.0012650920968765563
77,1566267.2395854015,130,-0.0024440803672186075
78,1586608.3725670301,130,-0.0038033626769849852
79,1606949.5055486585,130,-0.006029604800617612
80,1627290.6385302872,130,-0.00971512016453696
81,1647631.7715119158,130,0.0008156190587648763
82,1667972.9044935445,130,0.0016171013468861718
83,1688314.0374751731,130,-0.0016489891675334923
84,1708655.1704568015,130,0.0017090023952612658
85,1728996.3034384302,130,-0.0022531701098142923
86,1749337.4364200588,130,0.007593701425909026
87,1769678.5694016875,100,-0.00374395785107315
88,1790019.702383316,100,-0.006969586170882026
89,1810360.8353649445,110,-0.0023525203580939493
90,1830701.9683465732,110,0.0030885275950164343
91,1851043.1013282018,110,-0.0013708737041741139
92,1871384.2343098302,110,0.0008776068650928333
93,1891725.3672914589,110,-0.0037107115562421402
94,1912066.5002730875,110,-0.0017235455289945942
95,1932407.6332547162,110,-0.0013564313244243753
96,1952748.7662363448,110,0.001988991234697315
97,1973089.8992179732,110,0.0037185930692180966
98,1993431.0321996019,110,0.0030709444792352556
99,2013772.1651812305,110,-0.0010573908281859507
100,2034113.2981628592,110,-0.0013846072333018513
101,2054454.4311444876,110,-0.0035177227830614837
102,2074795.5641261162,110,0.002151454531589241
103,2095136.6971077449,110,-0.0019973013932136395
104,2115477.8300893735,110,-0.0036289743589915605
105,2135818.963071002,110,0.009268951940745236
106,2156160.096052631,110,-0.015511652113745028
107,2176501.229034259,110,0.003238720608699957
108,2196842.3620158876,110,0.0012326123355381152
109,2217183.4949975163,110,0.0031384504738696632
110,2237524.627979145,110,-0.0018114887257446035
111,2257865.7609607736,110,0.0054902668498337985
112,2278206.893942402,110,0.0025600066983248308
113,2298548.026924031,110,0.0028360375349110664
114,2318889.1599056595,110,0.0005940820324696904
115,2339230.292887288,110,-0.004564915266969104
116,2359571.4258689163,110,0.00034553675476570536
117,2379912.558850545,110,-0.004383183020318373
118,2400253.6918321736,110,-0.006740684633696268
119,2420594.8248138023,110,0.00154896760392172
120,2440935.957795431,110,0.0034591799306557787
121,2461277.0907770596,110,-0.002230811089100478
122,2481618.223758688,110,-0.0005118928977705675
